    target  count  region      srcs
 0x201d924     1  decomp      0x2018ae8
 0x201d994     1  decomp      0x2018af8
 0x201da18     4  decomp      0x2015924, 0x20159ec, 0x2017e2c, 0x2018260
 0x201db24     2  decomp      0x201dcc8, 0x201dd08
 0x201db98     1  decomp      0x201e86c
 0x201dbc4     1  decomp      0x201ea50
 0x201de78     1  decomp      0x20189b4
 0x201e054     1  decomp      0x2018bc8
 0x201e4e0     1  decomp      0x2018980
 0x201e504     2  decomp      0x201e928, 0x201e964
 0x201e7ec     2  decomp      0x2018944, 0x2018978
 0x201e9c4     1  decomp      0x201896c
 0x201ec28     1  decomp      0x20189e0
 0x201ec40     8  decomp      0x201ed08, 0x201ed6c, 0x201eddc, 0x201ee34, 0x201ef28, 0x201ef84
 0x201ec9c     1  decomp      0x201f340
 0x201eed0     1  decomp      0x201f410
 0x201f0e0     1  decomp      0x201f3e4
 0x201f1ec     2  decomp      0x201f30c, 0x201f3cc
 0x201f378     1  decomp      0x20189ac
 0x201f43c     1  decomp      0x202018c
 0x201f51c     1  decomp      0x201fe68
 0x201f9a0     1  decomp      0x2017690
 0x201fa14     3  decomp      0x202303c, 0x2023500, 0x2023570
 0x201fa30     1  decomp      0x2023398
 0x201fba4     2  decomp      0x202726c, 0x202872c
 0x201fc20     1  decomp      0x2023434
 0x201ff0c     2  decomp      0x201fc64, 0x201fd4c
 0x20202cc     3  decomp      0x2020098, 0x2020110, 0x2020994
 0x202089c     3  decomp      0x201fc10, 0x20207b4, 0x202088c
 0x2020974     2  decomp      0x201f920, 0x20200a8
 0x20209dc     1  decomp      0x202125c
 0x2020a2c     1  decomp      0x2020584
 0x2020a64     1  decomp      0x2020cf8
 0x2020a9c     1  decomp      0x2020bf8
